[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000013, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000018, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/recommend/00000014, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000015, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000017, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000012, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000016, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000019, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000014, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000018, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/mix/00000013, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/news/00000048, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/news/00000047, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/news/00000046, referer: http://lab3.own/
[Thu Jan 03 17:57:32 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/news/00000045, referer: http://lab3.own/
[Thu Jan 03 17:57:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/img/arrows.png, referer: http://lab3.own/css/nivo_slider/nivo_slider.css
[Thu Jan 03 17:57:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/img/bullets.png, referer: http://lab3.own/css/nivo_slider/nivo_slider.css
[Thu Jan 03 17:57:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:57:40 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:57:40 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:57:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:57:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:57:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:57:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:57:58 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:57:58 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:58:04 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:58:04 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:58:10 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:58:10 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:58:16 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:58:16 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:58:22 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:58:22 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
